eo_data,class,lon,lat,subset,start_date,end_date,eo_status,coord
Bananas,20,36.9730627,-0.6885855,training,09/02/2020,09/02/2021,complete,"[0.61964622 0.03039327 0.90185525 0.43629593 0.13102293 0.68161977
 0.00897177 0.28628876 0.31989507 0.79573254]"
Bananas,20,36.8813234,-0.66476,training,09/03/2020,09/03/2021,complete,"[0.85198374 0.51082185 0.01318417 0.28319752 0.58923907 0.00690353
 0.5486799  0.59617013 0.5208576  0.32152936]"
Maize,7,36.89178276,-0.685063136,training,09/04/2020,09/04/2021,complete,"[0.16358986 0.41539093 0.54670146 0.65334683 0.96080725 0.87015205
 0.38316504 0.72120823 0.06372657 0.08880704]"
Maize,7,36.89064628,-0.684245464,training,09/05/2020,09/05/2021,complete,"[0.17958173 0.71720717 0.75475236 0.37374491 0.43960876 0.4579052
 0.73012064 0.78907755 0.74471671 0.75188912]"
Tea,29,36.8910497,-0.6824282,training,09/06/2020,09/06/2021,complete,"[0.28875443 0.52723489 0.7326634  0.87945014 0.71820455 0.83403486
 0.79137503 0.49520994 0.93638892 0.35746087]"
Tea,29,36.8892232,-0.6812271,training,09/07/2020,09/07/2021,complete,"[0.04133548 0.90481613 0.59186602 0.57051504 0.88483025 0.95236091
 0.52785501 0.5544055  0.6420967  0.8608799 ]"
Maize,7,36.88806764,-0.681242429,training,09/08/2020,09/08/2021,complete,"[0.506585   0.9170814  0.19166322 0.39006903 0.41358473 0.21922985
 0.9953559  0.93169411 0.84460434 0.16351361]"
Maize,7,36.8836478,-0.6818181,training,09/09/2020,09/09/2021,complete,"[0.69467057 0.18007272 0.16511516 0.40234519 0.76030083 0.35132257
 0.16676139 0.18864209 0.82909055 0.68230041]"
Tea,29,36.88308264,-0.682072218,training,09/10/2020,09/10/2021,complete,"[0.54099008 0.55461848 0.2696585  0.08654146 0.28209263 0.53069973
 0.72779611 0.14169687 0.25587813 0.22441129]"
Maize,7,36.8830074,-0.681828386,training,09/11/2020,09/11/2021,complete,"[0.62699825 0.32522077 0.97069373 0.88505446 0.13459626 0.97438138
 0.41384356 0.56922453 0.97355774 0.48999672]"
Maize,7,36.88247293,-0.681086071,training,09/12/2020,09/12/2021,complete,"[0.7310739  0.27005377 0.83345893 0.11422709 0.8971376  0.98432388
 0.8053188  0.62058944 0.77141161 0.64841402]"
Maize,7,36.8818384,-0.6790553,training,13/09/2020,13/09/2021,complete,"[0.90989479 0.43647841 0.92157293 0.19625542 0.13553731 0.37961376
 0.09731035 0.10657861 0.4410441  0.08035222]"
Tea,29,36.8799517,-0.6699985,training,14/09/2020,14/09/2021,complete,"[0.06808105 0.20329069 0.35823436 0.7198226  0.42044111 0.44182084
 0.82040453 0.03227533 0.08588333 0.10738539]"
Maize,7,36.9730373,-0.6879142,training,15/09/2020,15/09/2021,complete,"[0.05881491 0.32520608 0.53725378 0.92596448 0.59407978 0.48710629
 0.90552329 0.05221926 0.91927963 0.91033774]"
Maize,7,36.8787717,-0.6699118,training,16/09/2020,16/09/2021,complete,"[0.94450671 0.01439825 0.85678253 0.22284103 0.19245855 0.86980307
 0.48096226 0.92572073 0.91863072 0.76575933]"
Maize,7,36.977614,-0.6892637,training,17/09/2020,17/09/2021,complete,"[0.15701594 0.30527346 0.8952831  0.12222426 0.45711926 0.86878212
 0.67078646 0.21110694 0.89337488 0.78236644]"
Maize,7,36.9776567,-0.6891918,training,18/09/2020,18/09/2021,complete,"[0.77704889 0.2082529  0.96525676 0.31652112 0.53506675 0.26351803
 0.98149881 0.99035593 0.62228325 0.64914486]"
Coffee,18,36.9780088,-0.6882473,training,19/09/2020,19/09/2021,complete,"[0.77519905 0.70626569 0.27000946 0.88153107 0.32514169 0.19892056
 0.56163308 0.02554553 0.56208358 0.16016816]"
Beans,12,36.9781487,-0.6868339,training,20/09/2020,20/09/2021,complete,"[0.40124421 0.11848168 0.88936556 0.73096888 0.90961032 0.98338109
 0.87226038 0.05511371 0.29378359 0.57174237]"
Maize,7,36.8818619,-0.6644655,training,21/09/2020,21/09/2021,complete,"[0.2572032  0.50009026 0.88782508 0.82123828 0.01631917 0.71125413
 0.4992726  0.84086477 0.53281095 0.02648439]"
Maize,7,36.88302981,-0.664067393,training,22/09/2020,22/09/2021,complete,"[0.25551019 0.76217354 0.16573008 0.20367261 0.26182781 0.85175432
 0.53287099 0.98471098 0.07853794 0.40364281]"
Maize,7,36.8873192,-0.664422904,training,23/09/2020,23/09/2021,complete,"[0.05144695 0.01969277 0.27625442 0.62228338 0.14471482 0.17865409
 0.87257584 0.55569148 0.11915112 0.71724214]"
Maize,7,36.88781122,-0.664133432,training,24/09/2020,24/09/2021,complete,"[0.0212026  0.06165531 0.21381717 0.09005186 0.14734834 0.57695447
 0.89623255 0.00671297 0.99693941 0.75164743]"
Maize,7,36.88889357,-0.663218991,training,25/09/2020,25/09/2021,complete,"[0.79319446 0.59752127 0.79599066 0.00385055 0.04301764 0.58764587
 0.42682956 0.92845635 0.3835078  0.37595981]"
Maize,7,36.9703522,-0.6838812,training,26/09/2020,26/09/2021,complete,"[0.3780903  0.26864578 0.42993562 0.92877853 0.57589747 0.2419521
 0.20643728 0.30401263 0.94687756 0.96483396]"
Maize,7,36.9735797,-0.6811403,training,27/09/2020,27/09/2021,complete,"[0.76983006 0.1495888  0.95804507 0.2882211  0.83501613 0.33995426
 0.01313799 0.6241055  0.43877353 0.390986  ]"
Maize,7,36.9735876,-0.6811401,training,28/09/2020,28/09/2021,complete,"[0.79225327 0.50401594 0.89288237 0.92399883 0.00602852 0.64167929
 0.02980939 0.38180152 0.46172795 0.01125056]"
Potatoes,15,36.9766577,-0.6804192,training,29/09/2020,29/09/2021,complete,"[0.35611226 0.60261074 0.82467667 0.49044674 0.42727805 0.70546927
 0.03987708 0.57959068 0.56329301 0.77217947]"
Beans,12,36.979003,-0.6807033,training,30/09/2020,30/09/2021,complete,"[0.23420555 0.09867533 0.58754215 0.25418149 0.03973415 0.50487021
 0.14221168 0.12900509 0.1963091  0.1496561 ]"
Beans,12,36.979708,-0.6807422,training,10/01/2020,10/01/2021,complete,"[0.30266053 0.76829038 0.48110083 0.53873658 0.16702041 0.00161993
 0.04756034 0.74793525 0.74491769 0.63883044]"
Maize,7,36.9807973,-0.6806427,training,10/02/2020,10/02/2021,complete,"[3.76523980e-01 3.97632738e-01 8.21297652e-01 8.03524770e-01
 2.30878078e-04 6.65186150e-01 3.16550854e-01 7.59996383e-01
 1.34594512e-01 8.99650483e-01]"
Maize,7,36.9807435,-0.6806406,training,10/03/2020,10/03/2021,complete,"[0.33548065 0.39387499 0.19257571 0.28155985 0.43776707 0.88813181
 0.38241945 0.05321887 0.84389895 0.13835355]"
Beans,12,36.9816611,-0.6804922,training,10/04/2020,10/04/2021,complete,"[0.60762649 0.56177825 0.22413412 0.83773025 0.0496543  0.58399747
 0.72690932 0.28080929 0.72065614 0.14156676]"
Maize,7,36.9818612,-0.6804379,training,10/05/2020,10/05/2021,complete,"[0.72391023 0.10457081 0.62240439 0.53448595 0.6820888  0.11220554
 0.49856332 0.18772389 0.66249713 0.16207706]"
Tea,29,36.86812975,-0.688593746,training,10/06/2020,10/06/2021,complete,"[0.44007462 0.41733911 0.98326753 0.344238   0.49295454 0.57225732
 0.67521551 0.55971575 0.10807786 0.91539021]"
Beans,12,36.9836812,-0.6796445,training,10/07/2020,10/07/2021,complete,"[0.00956942 0.84839224 0.4193988  0.05260555 0.85707616 0.51871954
 0.25149005 0.94920841 0.21944643 0.01925385]"
Maize,7,36.9836812,-0.6796445,training,10/08/2020,10/08/2021,complete,"[0.0110773  0.7020704  0.93681541 0.93908195 0.81850147 0.51040388
 0.54861266 0.96999914 0.60991205 0.98544213]"
Beans,12,36.9858787,-0.680522,training,10/09/2020,10/09/2021,complete,"[0.11921436 0.66264009 0.16893169 0.04563234 0.76883091 0.8428446
 0.77372866 0.73477243 0.51738851 0.77133191]"
Maize,7,36.8532968,-0.6912611,training,10/10/2020,10/10/2021,complete,"[0.94445889 0.42519876 0.09327935 0.63729826 0.89533208 0.57533736
 0.88450368 0.3946694  0.21091205 0.1027769 ]"
Maize,7,36.9869535,-0.6813162,training,10/11/2020,10/11/2021,complete,"[0.36877047 0.57930321 0.87673877 0.15175704 0.57072841 0.92712151
 0.51469656 0.48141813 0.52892328 0.65134807]"
Maize,7,36.9869731,-0.6812879,training,10/12/2020,10/12/2021,complete,"[0.63391225 0.98008037 0.66372782 0.15182739 0.01056389 0.56917046
 0.38560358 0.74964022 0.23246071 0.60289579]"
Maize,7,36.9873709,-0.6819982,training,13/10/2020,13/10/2021,complete,"[0.08839056 0.79832102 0.71331269 0.12786853 0.79908082 0.45558547
 0.96132128 0.39660376 0.09120353 0.56945921]"
Maize,7,36.9882685,-0.68247,training,14/10/2020,14/10/2021,complete,"[0.73769888 0.49112775 0.46497386 0.3031506  0.2945381  0.7739326
 0.20644277 0.12477879 0.67487696 0.74830493]"
Beans,12,36.9883656,-0.682367,training,15/10/2020,15/10/2021,complete,"[0.05683634 0.63083148 0.88114808 0.97862434 0.22906373 0.02526726
 0.75761077 0.34048399 0.63832989 0.42377435]"
Tea,29,36.84970622,-0.68843622,training,16/10/2020,16/10/2021,complete,"[0.95571991 0.87703242 0.66082686 0.68388709 0.4462724  0.46193915
 0.23890335 0.36766058 0.34894455 0.21367159]"
Cassava,22,36.9892003,-0.6825804,training,17/10/2020,17/10/2021,complete,"[0.17038624 0.95216244 0.62356522 0.18955608 0.39257753 0.31151085
 0.28364456 0.15573105 0.27507277 0.43923766]"
Beans,12,36.9883857,-0.6823633,training,18/10/2020,18/10/2021,complete,"[0.72351192 0.02893569 0.53852173 0.11877451 0.32232237 0.00385022
 0.14450336 0.54959934 0.92792393 0.80717954]"
Beans,12,36.9884138,-0.6823875,training,19/10/2020,19/10/2021,complete,"[0.20938343 0.13695209 0.21682613 0.83943591 0.76477136 0.07530836
 0.00425076 0.88424192 0.7965824  0.13684824]"
Maize,7,36.9884102,-0.6823557,training,20/10/2020,20/10/2021,complete,"[0.91097302 0.41572267 0.07478535 0.57485293 0.45595375 0.6931565
 0.62233993 0.12059773 0.11611301 0.91066126]"
Beans,12,36.9901109,-0.682807348,training,21/10/2020,21/10/2021,complete,"[0.11066747 0.14967822 0.09386495 0.23863453 0.16626247 0.99617878
 0.63415314 0.90181405 0.26661882 0.97033867]"
Beans,12,36.990354,-0.682696094,training,22/10/2020,22/10/2021,complete,"[0.22138903 0.18373477 0.78091583 0.17360117 0.41065272 0.63337733
 0.3296664  0.11071401 0.54588994 0.94089672]"
Maize,7,36.99030609,-0.682572772,training,23/10/2020,23/10/2021,complete,"[0.93014191 0.22667484 0.36494432 0.41887752 0.54599597 0.87787292
 0.85243102 0.50226663 0.75933528 0.57448318]"
Tea,29,36.84775941,-0.687284314,training,24/10/2020,24/10/2021,complete,"[0.66419512 0.62793936 0.95916756 0.09870855 0.09750377 0.48402449
 0.84823133 0.42022986 0.92251831 0.65929659]"
Potatoes,15,36.9911447,-0.6827654,training,25/10/2020,25/10/2021,complete,"[0.58348952 0.96097055 0.13913158 0.30381551 0.19622459 0.47310062
 0.80467616 0.66987205 0.92149094 0.1671541 ]"
Maize,7,36.9935157,-0.6841025,training,26/10/2020,26/10/2021,complete,"[0.49321271 0.83242594 0.64632677 0.88987948 0.79368049 0.83603943
 0.42436358 0.71683974 0.77438375 0.45395183]"
Maize,7,36.83704797,-0.68190712,training,27/10/2020,27/10/2021,complete,"[0.59471718 0.3261318  0.19202407 0.28336034 0.25505045 0.7593679
 0.17730884 0.27478854 0.70501798 0.42277063]"
Beans,12,36.994977,-0.684083,training,28/10/2020,28/10/2021,complete,"[0.11868082 0.67583461 0.86168082 0.54239693 0.44684706 0.6306843
 0.12805783 0.82774791 0.01488517 0.00995232]"
Tea,29,36.83508939,-0.679512571,training,29/10/2020,29/10/2021,complete,"[0.92160186 0.11787646 0.77254729 0.88374313 0.67496259 0.16706662
 0.18928583 0.09470607 0.74440173 0.09616095]"
Coffee,18,36.9955245,-0.6839898,training,30/10/2020,30/10/2021,complete,"[0.76092499 0.19622249 0.89532439 0.47617961 0.38189341 0.59208451
 0.45362972 0.2374038  0.28567841 0.03247934]"
Tea,29,36.82914857,-0.68019158,training,31/10/2020,31/10/2021,complete,"[0.86168646 0.31949799 0.55655849 0.53409648 0.9616018  0.3274821
 0.00633577 0.39147193 0.10357187 0.51315075]"
Coffee,18,37.09069373,-0.685756955,training,11/01/2020,11/01/2021,complete,"[0.40318997 0.3547613  0.74258626 0.32361177 0.58640018 0.71869616
 0.88097208 0.02183323 0.79564213 0.39768293]"
Tea,29,36.83129717,-0.683188211,training,11/02/2020,11/02/2021,complete,"[0.7806016  0.78285483 0.55860941 0.90300751 0.29793732 0.46145159
 0.50744259 0.71670141 0.01620103 0.13587852]"
Maize,7,36.9902327,-0.6843285,training,11/03/2020,11/03/2021,complete,"[0.94254521 0.32626482 0.01443885 0.75148719 0.32829764 0.42389391
 0.52889946 0.56636663 0.6565998  0.07463536]"
Maize,7,36.9902297,-0.6843293,training,11/04/2020,11/04/2021,complete,"[0.3507385  0.05345444 0.41661135 0.87935535 0.70881624 0.73501197
 0.04577176 0.50699578 0.30852761 0.85505982]"
Tea,29,36.8355712,-0.6895214,training,11/05/2020,11/05/2021,complete,"[0.80331339 0.65239709 0.4841958  0.89560529 0.55372885 0.0515088
 0.41507506 0.76109332 0.61646873 0.32566094]"
Maize,7,36.9902297,-0.6843293,training,11/06/2020,11/06/2021,complete,"[0.46564272 0.76602511 0.98123041 0.30005958 0.16667478 0.1818512
 0.36944093 0.30446668 0.66936709 0.22360668]"
Maize,7,36.99658196,-0.681025798,training,11/07/2020,11/07/2021,complete,"[0.2040409  0.84950501 0.79786154 0.7099209  0.09744647 0.12220069
 0.79883526 0.59224821 0.2190819  0.28322831]"
Maize,7,36.99995026,-0.683522942,training,11/08/2020,11/08/2021,complete,"[0.54365135 0.19928586 0.78545712 0.54302984 0.20142447 0.63184698
 0.63258919 0.290221   0.3880841  0.83539328]"
Maize,7,36.83194208,-0.694516031,training,11/09/2020,11/09/2021,complete,"[0.40108115 0.37302363 0.08027839 0.56808377 0.68012911 0.07741353
 0.93547295 0.41572704 0.3899128  0.55585775]"
Maize,7,36.99018293,-0.686956225,training,11/10/2020,11/10/2021,complete,"[0.66353006 0.03044238 0.50072393 0.63881533 0.4176317  0.1218484
 0.43683579 0.67895228 0.27931017 0.67139246]"
Beans,12,36.9904521,-0.688970857,training,11/11/2020,11/11/2021,complete,"[0.69947687 0.80548507 0.75479909 0.66572489 0.8063423  0.61396944
 0.27445224 0.21243169 0.02178939 0.63558114]"
Maize,7,36.99421654,-0.691031461,training,11/12/2020,11/12/2021,complete,"[0.96483388 0.98643231 0.23479984 0.36154147 0.19060225 0.84263975
 0.72600104 0.79169297 0.23229639 0.01682857]"
Tea,29,36.837841,-0.694171277,training,13/11/2020,13/11/2021,complete,"[0.46445199 0.3792455  0.91057614 0.49206974 0.65524784 0.91144514
 0.56425449 0.50069398 0.21303596 0.38393781]"
Yams,30,37.00242612,-0.696361551,training,14/11/2020,14/11/2021,complete,"[0.82296976 0.67695884 0.99730738 0.07121159 0.89592574 0.74269772
 0.72793156 0.13178736 0.11413643 0.81123428]"
Tea,29,36.8454473,-0.6956282,training,15/11/2020,15/11/2021,complete,"[0.99102816 0.29615948 0.2729229  0.76382634 0.81704632 0.37745885
 0.24735138 0.90147692 0.73592592 0.06255239]"
Tea,29,36.85427055,-0.690496985,training,16/11/2020,16/11/2021,complete,"[0.80291004 0.85094407 0.67299046 0.13471277 0.40302455 0.55136799
 0.47339285 0.83621027 0.02685479 0.51675469]"
Maize,7,36.99000657,-0.689436686,training,17/11/2020,17/11/2021,complete,"[0.20255829 0.42372763 0.74371882 0.77683011 0.19203433 0.27484457
 0.36890467 0.36613135 0.29984619 0.2967851 ]"
Maize,7,36.98866716,-0.688966037,training,18/11/2020,18/11/2021,complete,"[0.61770531 0.2402167  0.14312953 0.48128576 0.2904034  0.95527004
 0.33278175 0.79708255 0.91766025 0.35609545]"
Maize,7,36.86006645,-0.692974775,training,19/11/2020,19/11/2021,complete,"[0.2043279  0.54306164 0.91937955 0.34865032 0.91108275 0.64914487
 0.21961999 0.75915018 0.38958278 0.5991657 ]"
Maize,7,36.9836588,-0.6890095,training,20/11/2020,20/11/2021,complete,"[0.17112019 0.50830544 0.35930555 0.11762819 0.48692808 0.80752881
 0.99469886 0.43263892 0.53253661 0.53590721]"
Tea,29,36.86742561,-0.698243232,training,21/11/2020,21/11/2021,complete,"[0.5248942  0.24091802 0.83603478 0.62905897 0.81037359 0.12984319
 0.90422625 0.83484899 0.68871202 0.08526994]"
Maize,7,36.9666398,-0.6868114,training,22/11/2020,22/11/2021,complete,"[0.65079737 0.06185617 0.67059698 0.64849465 0.67920555 0.8124348
 0.72734228 0.71749802 0.57461636 0.41366401]"
Tea,29,36.88587755,-0.692979878,training,23/11/2020,23/11/2021,complete,"[0.12556572 0.84647513 0.75822518 0.51847466 0.31827148 0.50071336
 0.62146368 0.01011626 0.57978639 0.17219694]"
Maize,7,36.9651113,-0.6974479,training,24/11/2020,24/11/2021,complete,"[0.44888665 0.24332306 0.04380125 0.81262321 0.53122085 0.8746187
 0.95428134 0.02690766 0.87039881 0.36474923]"
Yams,30,36.9651181,-0.6974429,training,25/11/2020,25/11/2021,complete,"[0.09560602 0.91071455 0.08152261 0.24354176 0.02130462 0.10649791
 0.42858889 0.23880756 0.1877069  0.20034964]"
Kunde,31,37.1831762,-0.7131178,training,26/11/2020,26/11/2021,complete,"[0.93063744 0.20018445 0.18314191 0.60198996 0.52920414 0.52259063
 0.6902796  0.80276654 0.33488894 0.3751636 ]"
Maize,7,37.1831762,-0.7131178,training,27/11/2020,27/11/2021,complete,"[0.94748928 0.12091671 0.10434971 0.67684423 0.82786186 0.61329058
 0.04777626 0.32323521 0.12872248 0.07020611]"
Yams,30,36.9651266,-0.6974132,training,28/11/2020,28/11/2021,complete,"[0.72354663 0.4338867  0.93680316 0.71424933 0.76233851 0.34212225
 0.69522201 0.28104361 0.71365553 0.04139329]"
Maize,7,37.1834116,-0.7122649,training,29/11/2020,29/11/2021,complete,"[0.47110212 0.97254592 0.26469324 0.87570238 0.17947405 0.52174421
 0.35854809 0.96975996 0.29849636 0.38470067]"
Kales,28,36.965152,-0.6973981,training,30/11/2020,30/11/2021,complete,"[0.40595229 0.19953528 0.24515608 0.28187691 0.1055645  0.18006952
 0.56707722 0.7815311  0.42923848 0.87338876]"
Maize,7,36.96549715,-0.697023286,training,12/01/2020,12/01/2021,complete,"[0.03137061 0.29797745 0.15482285 0.15200912 0.2471703  0.79311425
 0.60598763 0.7846024  0.54134517 0.18507963]"
Rice,32,37.18411101,-0.698079972,training,12/02/2020,12/02/2021,complete,"[0.63813291 0.53062771 0.69638458 0.54715954 0.28286686 0.31189015
 0.65132661 0.19722051 0.09250808 0.47351027]"
Rice,32,37.18504199,-0.698276887,training,12/03/2020,12/03/2021,complete,"[0.48407235 0.67626416 0.08007309 0.18703213 0.0955417  0.47446752
 0.6113552  0.02810037 0.78881677 0.93576849]"
Rice,32,37.18725843,-0.688869041,training,12/04/2020,12/04/2021,complete,"[0.2868509  0.35581115 0.31694747 0.95673739 0.82714275 0.58302226
 0.42394799 0.83448305 0.65201834 0.25224691]"
Rice,32,37.18860858,-0.676180046,training,12/05/2020,12/05/2021,complete,"[0.39444778 0.73867836 0.55990935 0.31047842 0.05963842 0.50520735
 0.58613662 0.8738051  0.57272652 0.95352017]"
Rice,32,37.18884753,-0.676653057,training,12/06/2020,12/06/2021,complete,"[0.71848247 0.93054458 0.61329752 0.91486273 0.11128765 0.49981667
 0.62004551 0.65565478 0.83191026 0.24062848]"
Maize,7,37.18978844,-0.684194692,training,12/07/2020,12/07/2021,complete,"[0.19339003 0.19945975 0.46833013 0.54203066 0.27692688 0.99327002
 0.36985884 0.16945513 0.3519633  0.81646071]"
Mango,11,37.1925887,-0.6729237,training,12/08/2020,12/08/2021,complete,"[0.62648704 0.49054973 0.09130052 0.48761234 0.44146114 0.79292087
 0.19304072 0.1385761  0.2622253  0.16360602]"
Maize,7,37.20080833,-0.666545083,training,12/09/2020,12/09/2021,complete,"[0.00106066 0.98884249 0.54263368 0.51681581 0.61065064 0.87107896
 0.32518093 0.55960781 0.23280803 0.84732036]"
Maize,7,37.20021289,-0.667191225,training,12/10/2020,12/10/2021,complete,"[0.30014946 0.86125202 0.72876282 0.58368825 0.69184518 0.69192271
 0.10977498 0.74913987 0.47838866 0.02654601]"
Mango,11,37.21991607,-0.683494807,training,12/11/2020,12/11/2021,complete,"[0.49966432 0.44988725 0.10777646 0.86503745 0.24168523 0.69897589
 0.49103373 0.8609915  0.98296412 0.71707922]"
Maize,7,37.21694528,-0.689207461,training,12/12/2020,12/12/2021,complete,"[0.90903174 0.52374913 0.94506751 0.79768151 0.54459741 0.34792846
 0.3132317  0.49129519 0.29271492 0.77313758]"
Rice,32,37.2167346,-0.6890882,training,13/12/2020,13/12/2021,complete,"[0.06161394 0.88846658 0.95045542 0.63008901 0.81305978 0.28779174
 0.58251899 0.05972002 0.32501687 0.80183033]"
Maize,7,37.20663922,-0.681259052,training,14/12/2020,14/12/2021,complete,"[0.92398535 0.72558984 0.70063824 0.51052369 0.66125918 0.69611866
 0.52398077 0.12019651 0.81439958 0.75011418]"
Maize,7,37.19952999,-0.667418272,training,15/12/2020,15/12/2021,complete,"[0.59386516 0.07945383 0.19975006 0.84027711 0.14487825 0.68700009
 0.2132176  0.90649454 0.33497873 0.08851535]"
Mango,11,37.2204472,-0.68381,training,16/12/2020,16/12/2021,complete,"[0.84621319 0.30886488 0.60173991 0.01094631 0.6121081  0.21571347
 0.17641869 0.09165311 0.63863721 0.426181  ]"
Maize,7,37.22008591,-0.683632493,training,17/12/2020,17/12/2021,complete,"[0.47398529 0.77159099 0.26486437 0.71990278 0.31960984 0.30475926
 0.86163809 0.49970651 0.59939811 0.33209402]"
Maize,7,37.2308889,-0.6750587,training,18/12/2020,18/12/2021,complete,"[0.51824786 0.15278072 0.6338897  0.31118949 0.5512069  0.93628401
 0.3186071  0.85172469 0.72511929 0.00333426]"
Maize,7,37.2307707,-0.6748096,training,19/12/2020,19/12/2021,complete,"[0.03109481 0.5902618  0.69968868 0.87444944 0.64056027 0.08926369
 0.05795483 0.0884395  0.387888   0.10118295]"
Beans,12,37.2305527,-0.6748611,training,20/12/2020,20/12/2021,complete,"[0.31880567 0.1612578  0.57518943 0.21818672 0.85543255 0.36367526
 0.64052778 0.22536733 0.86709315 0.89705579]"
Maize,7,37.2306502,-0.6751873,training,21/12/2020,21/12/2021,complete,"[0.76966386 0.85575765 0.89700603 0.4517304  0.87436905 0.84490958
 0.67124568 0.70343807 0.33289142 0.86755289]"
Rice,32,37.23527965,-0.675435249,training,22/12/2020,22/12/2021,complete,"[0.12000522 0.28455585 0.03884843 0.92844546 0.49900438 0.17495627
 0.66784838 0.76115841 0.12997165 0.27259765]"
Rice,32,37.2353976,-0.6753665,training,23/12/2020,23/12/2021,complete,"[0.52901811 0.31278355 0.35407315 0.38656953 0.48550045 0.51592844
 0.5591452  0.42323442 0.21252055 0.71058743]"
Beans,12,37.23186611,-0.674991233,training,24/12/2020,24/12/2021,complete,"[0.10091987 0.19708407 0.64651074 0.17866303 0.22039885 0.65966659
 0.3828176  0.1646467  0.06605663 0.69014556]"
Rice,32,37.17816958,-0.683731721,training,25/12/2020,25/12/2021,complete,"[0.78511921 0.81020345 0.50206359 0.76040635 0.92722368 0.50088467
 0.18300696 0.99316884 0.46673323 0.90735825]"
Maize,7,37.1705286,-0.6652919,training,26/12/2020,26/12/2021,complete,"[0.75746858 0.99518334 0.9317962  0.30713067 0.39856783 0.79911002
 0.37971957 0.27123944 0.90635743 0.96058741]"
Maize,7,37.2091025,-0.761158657,training,27/12/2020,27/12/2021,complete,"[0.90979185 0.80060995 0.37166049 0.13346629 0.87090394 0.11332153
 0.05075146 0.85065864 0.74358254 0.90773744]"
Maize,7,37.21721221,-0.743632347,training,28/12/2020,28/12/2021,complete,"[0.55978823 0.20396305 0.78546596 0.8946313  0.20464485 0.43495641
 0.30539736 0.79780228 0.76820006 0.26518832]"
Maize,7,37.21792111,-0.755283231,training,29/12/2020,29/12/2021,complete,"[0.20724687 0.22130336 0.76170163 0.48181666 0.66388185 0.08051988
 0.51228721 0.85759873 0.07113499 0.89486747]"
Maize,7,37.21403404,-0.743863156,training,30/12/2020,30/12/2021,complete,"[0.00661369 0.39666852 0.88845794 0.00449827 0.77538771 0.7478654
 0.1400455  0.40731124 0.89779251 0.98138901]"
Maize,7,37.1952563,-0.7454165,training,31/12/2020,31/12/2021,complete,"[0.05317476 0.48938072 0.70322503 0.66006918 0.1304905  0.93225839
 0.01918679 0.18830682 0.75622072 0.37853603]"
Maize,7,37.23793902,-0.74506722,training,01/01/2021,01/01/2022,complete,"[0.06921768 0.33264439 0.6711601  0.00481983 0.49426562 0.52592603
 0.23832971 0.95159662 0.59239532 0.75745347]"
Maize,7,37.21765693,-0.754437819,training,01/02/2021,01/02/2022,complete,"[0.26606094 0.61638884 0.94694073 0.69283357 0.00871997 0.31011552
 0.33795044 0.49522072 0.31921484 0.894346  ]"
Avocado,8,37.2240746,-0.7659629,training,01/03/2021,01/03/2022,complete,"[0.86228528 0.81453901 0.67706654 0.48854455 0.91812468 0.33933114
 0.05662531 0.9960466  0.12204705 0.14361945]"
Maize,7,37.21751121,-0.7543723,training,01/04/2021,01/04/2022,complete,"[0.59771203 0.70536133 0.75186275 0.35020952 0.97675246 0.57754835
 0.9374818  0.06975072 0.14224187 0.80044919]"
Maize,7,37.22336365,-0.755543636,training,01/05/2021,01/05/2022,complete,"[0.43590122 0.11969715 0.73204939 0.17285427 0.60168718 0.15499134
 0.35683306 0.02251949 0.50453791 0.44575646]"
Beans,12,37.18679446,-0.743295045,training,01/06/2021,01/06/2022,complete,"[0.36230865 0.96376645 0.1306788  0.01731214 0.49161403 0.62245889
 0.33051367 0.85208686 0.17351514 0.68705625]"
Maize,7,37.18901304,-0.744664157,training,01/07/2021,01/07/2022,complete,"[0.14293368 0.70308303 0.79028796 0.08410535 0.512753   0.01157171
 0.75736578 0.97649361 0.56344245 0.28422482]"
Maize,7,37.2453976,-0.747278,training,01/08/2021,01/08/2022,complete,"[0.51669618 0.00480288 0.47550496 0.82331052 0.34724099 0.80233042
 0.46986252 0.14476816 0.82525397 0.45215918]"
Maize,7,37.20525835,-0.74429049,training,01/09/2021,01/09/2022,complete,"[0.51260279 0.92947292 0.80822291 0.22213528 0.48514277 0.99640767
 0.28853649 0.85609541 0.19583284 0.58624682]"
Maize,7,37.24673533,-0.736480365,training,01/10/2021,01/10/2022,complete,"[0.20242933 0.23354397 0.44589596 0.31705009 0.5268049  0.9824516
 0.02774775 0.41188711 0.22380067 0.02604904]"
Maize,7,37.2252053,-0.759043,training,01/11/2021,01/11/2022,complete,"[0.51641065 0.90059035 0.15628559 0.20690098 0.46098937 0.24558454
 0.27169015 0.88038987 0.35957625 0.58548083]"
Maize,7,37.20891982,-0.744027302,training,01/12/2021,01/12/2022,complete,"[0.54131414 0.40187686 0.5296354  0.97298611 0.22046518 0.41870932
 0.52076823 0.564993   0.55803641 0.34707105]"
Maize,7,37.20665712,-0.753201591,training,13/01/2021,13/01/2022,complete,"[0.72815039 0.77491496 0.56512019 0.0638723  0.98966412 0.37953566
 0.55259729 0.22919713 0.65335651 0.74027698]"
Maize,7,37.20489201,-0.752546469,training,14/01/2021,14/01/2022,complete,"[0.23065006 0.33232002 0.30236137 0.75967878 0.49249151 0.63221772
 0.54024547 0.2995543  0.72151931 0.93920973]"
